Latitude (decimal degrees): 48.351
Longitude (decimal degrees): 10.164
Elevation (m): 492.0
Irradiance Time Offset (h): 0.1798
month,year
1,2021
2,2011
3,2021
4,2017
5,2012
6,2009
7,2015
8,2014
9,2009
10,2017
11,2007
12,2018
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20090623:2100,11.83,92.55,0.0,-0.0,0.0,363.45,2.62,356.0,95430.0
20090623:2200,11.72,89.3,0.0,-0.0,0.0,363.05,2.76,356.0,95370.0
20090623:2300,11.52,89.3,0.0,-0.0,0.0,359.0,2.69,357.0,95360.0
20090624:0000,11.35,92.55,0.0,-0.0,0.0,361.1,2.48,356.0,95330.0
20090624:0100,11.14,89.3,0.0,-0.0,0.0,358.5,2.28,349.0,95280.0
20090624:0200,10.91,92.5,0.0,-0.0,0.0,356.3,2.14,346.0,95230.0
20090624:0300,10.67,89.25,0.0,-0.0,0.0,351.45,2.0,351.0,95210.0
20090624:0400,10.46,86.05,6.0,0.0,6.0,347.55,1.93,356.0,95190.0
20090624:0500,10.62,86.05,29.0,0.0,29.0,348.75,1.79,358.0,95170.0
20090624:0600,11.19,83.05,358.0,526.92,133.0,347.75,1.52,357.0,95160.0
20090624:0700,12.58,77.45,420.0,287.8,254.0,318.95,2.55,15.0,95160.0
20090624:0800,13.53,77.6,353.0,48.06,319.0,332.1,2.62,22.0,95140.0
20090624:0900,14.33,77.65,130.0,0.0,130.0,362.3,2.48,16.0,95110.0
20090624:1000,15.45,75.1,80.0,0.0,80.0,370.2,2.69,11.0,95090.0
20090624:1100,16.03,72.65,88.0,0.0,88.0,375.85,2.76,17.0,95080.0
20090624:1200,16.1,75.25,118.0,0.0,118.0,379.7,1.93,29.0,95070.0
20090624:1300,16.27,77.95,75.0,0.0,75.0,376.8,1.38,48.0,95050.0
20090624:1400,16.19,77.95,99.0,0.0,99.0,381.85,1.17,52.0,95060.0
20090624:1500,16.25,80.75,99.0,0.0,99.0,377.95,1.45,53.0,95050.0
20090624:1600,16.0,80.75,119.0,0.0,119.0,377.55,1.72,54.0,95050.0
20090624:1700,15.68,83.55,85.0,0.0,85.0,381.65,1.79,53.0,95030.0
20090624:1800,15.3,89.55,14.0,0.0,14.0,380.85,1.59,58.0,95020.0
20090624:1900,14.88,89.5,0.0,0.0,0.0,380.1,1.24,65.0,95050.0
20090624:2000,14.62,89.5,0.0,-0.0,0.0,381.65,0.9,58.0,95080.0
20090624:2100,14.38,96.0,0.0,-0.0,0.0,378.55,0.48,1.0,95030.0
20090624:2200,13.93,95.95,0.0,-0.0,0.0,375.65,0.83,343.0,95000.0
20090624:2300,13.6,95.95,0.0,-0.0,0.0,371.0,0.97,1.0,94960.0
20090625:0000,13.34,95.95,0.0,-0.0,0.0,367.1,1.1,5.0,94900.0
20090625:0100,13.37,99.4,0.0,-0.0,0.0,374.0,1.03,2.0,94880.0
20090625:0200,13.38,95.95,0.0,-0.0,0.0,372.95,1.17,2.0,94820.0
20090625:0300,13.49,95.95,0.0,-0.0,0.0,374.3,1.24,9.0,94780.0
20090625:0400,13.56,95.95,54.0,117.27,41.0,372.95,1.31,17.0,94790.0
20090625:0500,13.93,95.95,185.0,302.75,104.0,370.2,1.17,22.0,94800.0
20090625:0600,14.61,89.5,235.0,103.23,191.0,379.5,1.86,32.0,94790.0
20090625:0700,15.81,86.5,223.0,12.15,216.0,370.4,1.86,34.0,94770.0
20090625:0800,16.72,80.8,443.0,144.3,341.0,372.15,1.93,38.0,94760.0
20090625:0900,17.36,78.1,635.0,338.38,361.0,368.85,2.21,39.0,94730.0
20090625:1000,17.89,78.15,693.0,338.42,396.0,375.45,2.21,37.0,94720.0
20090625:1100,18.64,81.0,439.0,35.32,407.0,369.85,1.93,36.0,94700.0
20090625:1200,18.85,83.8,264.0,0.0,264.0,388.8,1.72,31.0,94670.0
20090625:1300,19.47,83.85,657.0,333.79,377.0,391.1,1.93,32.0,94640.0
20090625:1400,19.03,81.05,320.0,18.72,306.0,389.0,2.14,40.0,94580.0
20090625:1500,18.22,81.0,253.0,14.37,244.0,384.35,2.9,23.0,94580.0
20090625:1600,18.15,78.25,273.0,109.85,220.0,368.1,2.48,37.0,94570.0
20090625:1700,17.61,80.9,248.0,408.24,115.0,374.3,1.59,48.0,94580.0
20090625:1800,17.21,83.7,93.0,167.55,65.0,362.85,1.03,57.0,94560.0
20090625:1900,16.91,83.65,0.0,0.0,0.0,354.55,1.24,74.0,94610.0
20090625:2000,15.75,89.6,0.0,-0.0,0.0,345.05,1.31,70.0,94630.0
20090625:2100,14.81,92.7,0.0,-0.0,0.0,340.2,0.9,79.0,94630.0
20090625:2200,15.41,92.75,0.0,-0.0,0.0,341.55,0.28,107.0,94670.0
20090625:2300,15.08,92.75,0.0,-0.0,0.0,332.3,0.28,332.0,94630.0
20090626:0000,13.51,95.95,0.0,-0.0,0.0,335.2,1.1,356.0,94650.0
20090626:0100,12.97,95.95,0.0,-0.0,0.0,322.5,1.03,340.0,94630.0
20090626:0200,13.39,99.4,0.0,-0.0,0.0,316.4,0.69,301.0,94580.0
20090626:0300,13.02,99.4,0.0,-0.0,0.0,320.3,0.28,259.0,94590.0
20090626:0400,12.45,99.4,10.0,0.0,10.0,328.6,0.28,132.0,94650.0
20090626:0500,12.82,99.4,55.0,0.0,55.0,361.5,0.34,86.0,94680.0
20090626:0600,14.15,96.0,179.0,28.21,167.0,368.45,0.69,102.0,94690.0
20090626:0700,16.15,89.65,116.0,0.0,116.0,352.8,0.83,50.0,94640.0
20090626:0800,17.5,83.7,295.0,16.99,283.0,363.65,0.55,36.0,94670.0
20090626:0900,18.89,83.8,548.0,190.31,394.0,358.8,0.41,10.0,94660.0
20090626:1000,19.77,78.35,482.0,71.82,419.0,359.2,0.48,358.0,94670.0
20090626:1100,20.47,70.7,809.0,533.3,326.0,370.0,1.03,24.0,94630.0
20090626:1200,20.46,73.2,714.0,357.39,395.0,386.45,1.72,33.0,94630.0
20090626:1300,20.85,70.8,571.0,193.12,409.0,390.15,1.59,42.0,94580.0
20090626:1400,21.06,68.5,495.0,179.1,361.0,374.85,1.38,22.0,94540.0
20090626:1500,20.87,68.4,501.0,395.73,253.0,381.65,1.38,19.0,94520.0
20090626:1600,20.8,68.4,315.0,200.95,218.0,362.65,1.38,11.0,94510.0
20090626:1700,20.67,68.4,258.0,472.4,104.0,360.55,0.76,0.0,94540.0
20090626:1800,19.66,75.7,69.0,47.83,61.0,358.8,0.41,327.0,94570.0
20090626:1900,18.67,83.8,0.0,0.0,0.0,367.3,0.83,235.0,94650.0
20090626:2000,17.01,83.7,0.0,-0.0,0.0,362.65,1.38,253.0,94700.0
20090626:2100,15.95,92.75,0.0,-0.0,0.0,353.0,1.59,267.0,94730.0
20090626:2200,15.09,92.75,0.0,-0.0,0.0,351.85,1.59,267.0,94770.0
20090626:2300,14.34,96.0,0.0,-0.0,0.0,341.0,1.59,256.0,94780.0
20090627:0000,14.25,96.0,0.0,-0.0,0.0,358.2,1.79,250.0,94770.0
20090627:0100,13.88,95.95,0.0,-0.0,0.0,340.35,2.0,248.0,94750.0
20090627:0200,13.7,95.95,0.0,-0.0,0.0,341.75,1.93,240.0,94750.0
20090627:0300,13.52,95.95,0.0,-0.0,0.0,341.4,1.79,243.0,94760.0
20090627:0400,13.55,95.95,52.0,110.16,40.0,350.65,1.72,245.0,94790.0
20090627:0500,14.2,96.0,18.0,0.0,18.0,354.75,1.66,242.0,94790.0
20090627:0600,15.11,92.75,43.0,0.0,43.0,360.15,1.66,252.0,94820.0
20090627:0700,15.34,99.4,48.0,0.0,48.0,388.2,1.1,295.0,94780.0
20090627:0800,15.79,96.0,92.0,0.0,92.0,388.8,1.66,317.0,94830.0
20090627:0900,15.87,96.0,194.0,0.0,194.0,390.15,1.93,332.0,94850.0
20090627:1000,16.23,96.05,364.0,13.69,352.0,390.35,1.72,338.0,94880.0
20090627:1100,16.87,96.05,158.0,0.0,158.0,387.65,1.59,343.0,94900.0
20090627:1200,17.97,92.85,349.0,7.84,342.0,387.65,1.52,340.0,94890.0
20090627:1300,18.68,89.75,168.0,0.0,168.0,381.85,1.72,336.0,94850.0
20090627:1400,19.28,86.8,477.0,155.03,361.0,378.15,1.72,324.0,94850.0
20090627:1500,19.7,83.9,413.0,193.04,292.0,378.55,1.79,312.0,94840.0
20090627:1600,19.9,83.9,371.0,381.08,187.0,357.65,1.86,306.0,94800.0
20090627:1700,19.7,81.1,275.0,570.35,89.0,363.25,2.28,320.0,94830.0
20090627:1800,17.73,86.7,85.0,119.52,65.0,356.1,1.59,348.0,94910.0
20090627:1900,16.99,89.65,0.0,0.0,0.0,367.5,1.52,307.0,94940.0
20090627:2000,16.34,89.65,0.0,-0.0,0.0,370.6,1.45,290.0,95000.0
20090627:2100,15.95,96.0,0.0,-0.0,0.0,382.0,1.52,287.0,95020.0
20090627:2200,15.63,96.0,0.0,-0.0,0.0,384.55,1.38,288.0,95030.0
20090627:2300,15.49,96.0,0.0,-0.0,0.0,383.0,0.9,278.0,95020.0
20090628:0000,15.3,96.0,0.0,-0.0,0.0,377.75,1.1,256.0,95040.0
20090628:0100,15.2,96.0,0.0,-0.0,0.0,382.15,1.24,264.0,95010.0
20090628:0200,15.23,96.0,0.0,-0.0,0.0,385.7,1.38,272.0,94990.0
20090628:0300,15.15,96.0,0.0,-0.0,0.0,383.0,1.24,277.0,94980.0
20090628:0400,15.06,96.0,27.0,9.27,26.0,379.5,0.83,277.0,94980.0
20090628:0500,15.43,96.0,41.0,0.0,41.0,388.0,0.97,288.0,95040.0
20090628:0600,15.74,92.75,149.0,9.45,145.0,387.05,1.03,304.0,95030.0
20090628:0700,16.48,96.05,315.0,88.92,264.0,384.35,1.38,336.0,95040.0
20090628:0800,17.41,86.65,624.0,559.1,230.0,385.9,1.17,353.0,95050.0
20090628:0900,18.32,81.0,633.0,342.84,356.0,384.95,1.24,24.0,95040.0
20090628:1000,19.4,78.3,434.0,41.08,398.0,373.3,1.45,38.0,95060.0
20090628:1100,20.38,78.45,393.0,18.78,376.0,378.55,1.59,42.0,95060.0
20090628:1200,20.87,75.85,471.0,58.28,419.0,379.3,1.59,48.0,95070.0
20090628:1300,21.22,75.95,481.0,91.8,404.0,381.05,1.45,41.0,95050.0
20090628:1400,21.48,73.35,493.0,177.75,360.0,373.5,1.24,26.0,95050.0
20090628:1500,21.71,68.6,545.0,542.39,205.0,366.95,1.45,15.0,95040.0
20090628:1600,21.88,66.25,221.0,41.42,201.0,351.85,1.59,20.0,95010.0
20090628:1700,21.58,66.25,236.0,346.46,123.0,355.7,1.93,22.0,95000.0
20090628:1800,20.55,73.3,89.0,143.45,65.0,358.8,1.45,45.0,95040.0
20090628:1900,19.18,81.05,0.0,0.0,0.0,371.55,1.72,48.0,95090.0
20090628:2000,18.02,83.8,0.0,-0.0,0.0,352.4,1.72,45.0,95140.0
20090628:2100,17.34,89.7,0.0,-0.0,0.0,362.1,1.52,58.0,95170.0
20090628:2200,16.56,92.8,0.0,-0.0,0.0,358.6,1.31,67.0,95190.0
20090628:2300,15.72,96.0,0.0,-0.0,0.0,344.1,1.03,71.0,95210.0
20090629:0000,16.38,92.8,0.0,-0.0,0.0,344.3,0.41,80.0,95190.0
20090629:0100,15.96,96.0,0.0,-0.0,0.0,340.9,0.21,279.0,95190.0
20090629:0200,15.51,96.0,0.0,-0.0,0.0,337.5,0.48,288.0,95190.0
20090629:0300,14.74,99.4,0.0,-0.0,0.0,328.6,0.62,328.0,95190.0
20090629:0400,14.37,99.35,46.0,74.99,38.0,329.75,0.69,360.0,95220.0
20090629:0500,15.11,96.0,126.0,72.12,107.0,339.85,0.48,30.0,95220.0
20090629:0600,16.92,92.8,348.0,501.93,136.0,354.75,0.69,55.0,95270.0
20090629:0700,18.79,86.75,523.0,658.42,146.0,342.55,1.31,36.0,95260.0
20090629:0800,19.99,83.9,655.0,663.47,188.0,371.0,1.31,33.0,95260.0
20090629:0900,20.93,81.2,695.0,488.06,301.0,367.7,1.31,33.0,95280.0
20090629:1000,21.66,76.0,852.0,735.36,208.0,374.3,1.52,34.0,95280.0
20090629:1100,22.24,73.55,819.0,565.97,307.0,370.2,1.79,35.0,95280.0
20090629:1200,22.64,71.15,857.0,701.82,231.0,387.05,2.07,31.0,95300.0
20090629:1300,22.82,68.75,823.0,766.76,180.0,371.95,2.28,34.0,95290.0
20090629:1400,23.1,66.55,743.0,803.3,142.0,370.4,2.48,36.0,95250.0
20090629:1500,22.81,64.2,608.0,767.34,127.0,375.45,2.34,41.0,95250.0
20090629:1600,22.48,64.1,436.0,656.48,119.0,373.7,2.07,44.0,95230.0
20090629:1700,22.12,64.1,257.0,466.11,105.0,362.65,1.45,44.0,95260.0
20090629:1800,21.53,73.35,99.0,215.32,63.0,356.85,0.97,46.0,95300.0
20090629:1900,20.4,73.2,0.0,0.0,0.0,350.1,1.52,38.0,95330.0
20090629:2000,18.58,83.8,0.0,-0.0,0.0,345.05,1.38,23.0,95370.0
20090629:2100,17.18,83.7,0.0,-0.0,0.0,340.0,1.45,20.0,95380.0
20090629:2200,16.18,86.55,0.0,-0.0,0.0,338.65,1.59,18.0,95410.0
20090629:2300,15.39,89.55,0.0,-0.0,0.0,338.3,1.66,23.0,95430.0
20090630:0000,14.65,89.5,0.0,-0.0,0.0,329.2,1.66,35.0,95420.0
20090630:0100,14.49,86.45,0.0,-0.0,0.0,327.75,1.38,30.0,95420.0
20090630:0200,15.1,86.5,0.0,-0.0,0.0,324.95,1.03,22.0,95390.0
20090630:0300,14.98,89.5,0.0,-0.0,0.0,325.3,0.9,23.0,95380.0
20090630:0400,14.93,89.5,38.0,37.94,34.0,324.75,0.76,23.0,95410.0
20090630:0500,15.5,86.5,167.0,232.61,106.0,321.65,0.34,3.0,95420.0
20090630:0600,17.21,86.65,333.0,429.69,152.0,324.15,0.62,28.0,95450.0
20090630:0700,19.53,83.9,518.0,635.1,155.0,342.75,1.03,19.0,95480.0
20090630:0800,20.93,78.5,681.0,756.78,149.0,347.55,1.38,27.0,95500.0
20090630:0900,21.82,68.6,688.0,467.43,311.0,351.85,1.86,41.0,95510.0
20090630:1000,22.13,64.1,863.0,766.71,192.0,365.75,1.86,47.0,95500.0
20090630:1100,22.97,64.2,767.0,445.7,364.0,366.35,1.66,49.0,95520.0
20090630:1200,23.4,64.3,792.0,529.35,320.0,375.05,1.52,51.0,95500.0
20090630:1300,23.83,64.4,781.0,636.93,247.0,362.5,1.38,44.0,95490.0
20090630:1400,24.03,64.4,725.0,751.3,163.0,364.0,1.38,29.0,95460.0
20090630:1500,23.99,64.4,525.0,472.28,229.0,378.35,1.72,11.0,95430.0
20090630:1600,21.2,75.24,421.0,588.26,137.0,375.57,1.5,4.0,95390.0
20090630:1700,20.75,76.25,278.0,579.82,89.0,370.95,1.51,329.0,95390.0
20090630:1800,20.29,77.25,108.0,287.47,60.0,366.33,1.53,313.0,95450.0
20090630:1900,19.84,78.25,0.0,0.0,0.0,361.71,1.55,358.0,95490.0
20090630:2000,19.39,79.25,0.0,-0.0,0.0,357.1,1.56,358.0,95500.0
20090630:2100,18.94,80.25,0.0,-0.0,0.0,352.48,1.58,37.0,95550.0
20090630:2200,18.49,81.25,0.0,-0.0,0.0,347.86,1.6,87.0,95580.0
20090630:2300,18.04,82.26,0.0,-0.0,0.0,343.24,1.61,136.0,95600.0
20150701:0000,17.59,83.26,0.0,-0.0,0.0,338.63,1.63,83.0,95480.0
20150701:0100,17.14,84.26,0.0,-0.0,0.0,334.01,1.65,82.0,95470.0
20150701:0200,16.69,85.26,0.0,-0.0,0.0,329.39,1.66,76.0,95470.0
20150701:0300,16.24,86.26,0.0,-0.0,0.0,324.77,1.68,72.0,95470.0
20150701:0400,15.79,87.26,54.0,153.71,38.0,320.16,1.7,71.0,95470.0
20150701:0500,15.34,88.27,213.0,524.98,76.0,315.54,1.71,72.0,95490.0
20150701:0600,14.89,89.27,380.0,657.09,104.0,310.92,1.73,76.0,95500.0
20150701:0700,14.44,90.27,550.0,752.0,121.0,306.3,1.75,75.0,95560.0
20150701:0800,22.29,64.1,703.0,817.63,129.0,330.35,2.21,80.0,95560.0
20150701:0900,23.86,58.1,827.0,858.84,135.0,337.3,2.48,84.0,95560.0
20150701:1000,25.12,54.45,905.0,872.48,142.0,343.9,2.69,88.0,95560.0
20150701:1100,26.06,51.05,941.0,881.93,144.0,349.1,2.69,89.0,95550.0
20150701:1200,26.77,49.45,921.0,866.16,149.0,353.55,2.62,89.0,95530.0
20150701:1300,27.28,47.9,861.0,859.06,141.0,357.05,2.55,86.0,95500.0
20150701:1400,27.55,46.4,769.0,869.18,119.0,359.0,2.55,83.0,95470.0
20150701:1500,27.55,46.4,617.0,791.61,121.0,360.35,2.62,84.0,95470.0
20150701:1600,27.26,47.9,446.0,690.01,113.0,359.95,2.55,87.0,95470.0
20150701:1700,26.56,54.8,275.0,567.94,90.0,359.55,2.07,86.0,95490.0
20150701:1800,25.2,62.45,113.0,336.01,57.0,357.25,2.0,80.0,95480.0
20150701:1900,23.47,62.25,0.0,0.0,0.0,353.75,2.28,71.0,95460.0
20150701:2000,21.85,64.1,0.0,-0.0,0.0,345.25,2.41,79.0,95510.0
20150701:2100,20.61,70.8,0.0,-0.0,0.0,340.8,2.41,88.0,95540.0
20150701:2200,19.6,75.7,0.0,-0.0,0.0,336.75,2.34,93.0,95540.0
20150701:2300,18.63,81.0,0.0,-0.0,0.0,333.85,2.14,96.0,95560.0
20150702:0000,17.55,86.65,0.0,-0.0,0.0,330.95,2.0,94.0,95570.0
20150702:0100,16.51,89.65,0.0,-0.0,0.0,329.3,1.93,91.0,95580.0
20150702:0200,15.65,92.75,0.0,-0.0,0.0,328.4,1.79,85.0,95580.0
20150702:0300,15.05,92.7,0.0,-0.0,0.0,331.1,1.72,81.0,95590.0
20150702:0400,14.63,96.0,60.0,233.74,36.0,327.85,1.66,79.0,95600.0
20150702:0500,16.05,96.0,203.0,473.8,80.0,328.05,1.24,83.0,95630.0
20150702:0600,19.16,81.05,371.0,630.42,107.0,329.95,1.24,88.0,95630.0
20150702:0700,21.32,73.45,539.0,723.65,127.0,338.5,1.45,85.0,95690.0
20150702:0800,23.11,68.85,690.0,787.41,138.0,347.4,1.45,79.0,95680.0
20150702:0900,24.8,66.75,812.0,828.68,145.0,352.6,1.52,75.0,95680.0
20150702:1000,26.23,60.6,894.0,853.71,148.0,360.35,1.66,78.0,95700.0
20150702:1100,27.29,54.95,929.0,862.53,150.0,364.2,1.72,81.0,95680.0
20150702:1200,28.04,51.55,910.0,847.49,155.0,369.65,1.66,81.0,95680.0
20150702:1300,28.54,48.25,851.0,840.3,147.0,375.05,1.52,77.0,95650.0
20150702:1400,28.77,48.25,756.0,838.72,129.0,376.6,1.59,77.0,95660.0
20150702:1500,28.84,48.25,612.0,782.33,122.0,377.2,1.72,80.0,95660.0
20150702:1600,28.57,48.25,443.0,680.01,115.0,376.2,1.93,86.0,95670.0
20150702:1700,27.85,56.95,271.0,550.06,92.0,376.0,1.66,92.0,95700.0
20150702:1800,26.65,62.8,108.0,294.73,59.0,372.95,1.72,88.0,95720.0
20150702:1900,24.91,64.6,0.0,0.0,0.0,366.55,2.21,75.0,95690.0
20150702:2000,23.23,66.55,0.0,-0.0,0.0,359.75,2.28,84.0,95750.0
20150702:2100,21.92,68.7,0.0,-0.0,0.0,355.7,2.21,97.0,95790.0
20150702:2200,20.7,75.85,0.0,-0.0,0.0,352.2,1.93,109.0,95820.0
20150702:2300,19.39,81.1,0.0,-0.0,0.0,350.65,1.52,121.0,95800.0
20150703:0000,18.84,83.85,0.0,-0.0,0.0,348.75,1.31,139.0,95810.0
20150703:0100,18.93,81.05,0.0,-0.0,0.0,347.7,1.03,158.0,95820.0
20150703:0200,19.17,83.85,0.0,-0.0,0.0,348.15,0.62,184.0,95830.0
20150703:0300,19.06,83.85,0.0,-0.0,0.0,352.0,0.48,176.0,95820.0
20150703:0400,18.73,86.75,27.0,9.88,26.0,353.4,0.55,149.0,95860.0
20150703:0500,19.04,86.8,113.0,46.48,101.0,356.1,0.41,145.0,95870.0
20150703:0600,21.18,81.3,32.0,0.0,32.0,363.65,0.55,174.0,95930.0
20150703:0700,23.35,73.75,82.0,0.0,82.0,367.9,1.59,216.0,95960.0
20150703:0800,24.38,71.4,179.0,0.0,179.0,386.65,2.28,225.0,96010.0
20150703:0900,25.39,66.95,232.0,0.0,232.0,388.2,1.03,215.0,96010.0
20150703:1000,26.57,64.95,523.0,109.95,427.0,384.55,1.31,104.0,96080.0
20150703:1100,27.16,62.9,806.0,544.01,315.0,389.2,1.03,111.0,96070.0
20150703:1200,28.11,57.05,836.0,651.4,256.0,391.7,0.34,220.0,96020.0
20150703:1300,28.75,55.3,835.0,809.64,157.0,390.95,0.21,154.0,95970.0
20150703:1400,29.13,53.55,738.0,796.26,143.0,392.45,0.69,94.0,95940.0
20150703:1500,29.29,53.55,594.0,733.2,135.0,397.7,1.1,89.0,95910.0
20150703:1600,29.19,53.55,449.0,713.69,105.0,392.1,1.03,106.0,95890.0
20150703:1700,28.68,59.1,92.0,3.08,91.0,392.85,1.1,109.0,95900.0
20150703:1800,27.55,69.6,59.0,24.13,55.0,390.55,1.1,105.0,95900.0
20150703:1900,25.32,69.15,0.0,0.0,0.0,363.25,1.93,102.0,95870.0
20150703:2000,23.46,71.35,0.0,-0.0,0.0,356.3,2.21,110.0,95880.0
20150703:2100,22.07,76.1,0.0,-0.0,0.0,348.55,2.14,120.0,95890.0
20150703:2200,20.91,81.3,0.0,-0.0,0.0,345.05,2.07,121.0,95880.0
20150703:2300,19.87,83.95,0.0,-0.0,0.0,341.4,2.14,114.0,95850.0
20150704:0000,19.03,89.8,0.0,-0.0,0.0,336.95,2.14,115.0,95820.0
20150704:0100,18.38,89.75,0.0,-0.0,0.0,334.5,2.0,119.0,95800.0
20150704:0200,17.7,92.85,0.0,-0.0,0.0,332.5,1.79,117.0,95760.0
20150704:0300,17.02,92.8,0.0,-0.0,0.0,330.55,1.86,109.0,95750.0
20150704:0400,16.58,92.8,40.0,60.23,34.0,328.8,1.72,106.0,95710.0
20150704:0500,18.09,92.85,187.0,374.01,91.0,330.55,1.17,104.0,95740.0
20150704:0600,21.35,81.35,351.0,545.61,124.0,340.4,0.69,110.0,95750.0
20150704:0700,23.83,73.75,520.0,666.81,142.0,341.0,0.69,120.0,95750.0
20150704:0800,25.89,67.05,674.0,751.21,149.0,348.95,0.41,113.0,95760.0
20150704:0900,27.81,60.9,799.0,803.19,154.0,357.65,0.48,146.0,95760.0
20150704:1000,29.47,51.9,876.0,815.09,165.0,369.65,0.83,201.0,95760.0
20150704:1100,30.66,47.15,910.0,824.92,166.0,377.75,1.24,235.0,95740.0
20150704:1200,31.41,44.3,901.0,832.72,160.0,386.1,1.31,254.0,95740.0
20150704:1300,31.69,42.85,825.0,775.42,176.0,391.5,1.45,243.0,95680.0
20150704:1400,31.57,44.3,721.0,743.13,166.0,396.9,2.07,218.0,95670.0
20150704:1500,30.93,45.7,578.0,666.53,161.0,397.9,2.55,212.0,95650.0
20150704:1600,29.85,53.7,414.0,560.65,144.0,401.0,2.0,218.0,95620.0
20150704:1700,28.61,65.3,209.0,224.95,136.0,407.2,0.76,275.0,95640.0
20150704:1800,27.72,74.3,91.0,169.55,63.0,400.0,0.62,279.0,95640.0
20150704:1900,27.13,69.5,0.0,0.0,0.0,396.15,0.28,191.0,95580.0
20150704:2000,24.63,78.95,0.0,-0.0,0.0,388.4,1.31,216.0,95620.0
20150704:2100,23.0,81.5,0.0,-0.0,0.0,384.55,1.79,219.0,95620.0
20150704:2200,21.98,84.15,0.0,-0.0,0.0,381.85,1.59,212.0,95580.0
20150704:2300,20.88,86.95,0.0,-0.0,0.0,367.3,1.52,192.0,95570.0
20150705:0000,19.94,89.85,0.0,-0.0,0.0,365.95,1.66,208.0,95550.0
20150705:0100,19.32,89.85,0.0,-0.0,0.0,362.0,1.72,214.0,95530.0
20150705:0200,18.79,89.8,0.0,-0.0,0.0,360.35,1.66,218.0,95490.0
20150705:0300,18.3,89.75,0.0,-0.0,0.0,357.05,1.59,214.0,95450.0
20150705:0400,18.14,92.85,35.0,40.83,31.0,354.35,1.31,204.0,95410.0
20150705:0500,19.8,86.85,180.0,337.11,94.0,353.55,0.69,196.0,95430.0
20150705:0600,22.88,78.85,347.0,533.05,126.0,356.85,0.41,171.0,95440.0
20150705:0700,24.97,73.95,518.0,664.83,142.0,365.55,1.03,85.0,95460.0
20150705:0800,26.74,67.15,672.0,749.59,149.0,372.75,1.66,83.0,95450.0
20150705:0900,28.33,61.0,797.0,800.45,155.0,377.4,1.86,93.0,95410.0
20150705:1000,29.72,55.5,883.0,836.53,154.0,382.2,1.93,105.0,95370.0
20150705:1100,30.87,50.45,913.0,834.44,161.0,386.3,2.0,116.0,95330.0
20150705:1200,31.69,42.85,904.0,842.26,155.0,389.55,1.93,118.0,95280.0
20150705:1300,32.24,38.8,841.0,823.71,152.0,389.4,1.93,121.0,95220.0
20150705:1400,32.44,36.35,743.0,811.92,137.0,389.95,1.93,128.0,95150.0
20150705:1500,32.5,36.35,592.0,726.21,138.0,386.85,2.21,139.0,95070.0
20150705:1600,32.1,38.8,425.0,617.36,128.0,386.65,2.21,159.0,95040.0
20150705:1700,30.5,59.55,255.0,466.14,104.0,386.85,1.31,177.0,95040.0
20150705:1800,29.88,57.5,75.0,72.97,63.0,389.2,1.24,193.0,95040.0
20150705:1900,28.14,59.0,0.0,0.0,0.0,375.25,1.1,278.0,95080.0
20150705:2000,25.71,64.7,0.0,-0.0,0.0,385.7,2.21,278.0,95160.0
20150705:2100,24.66,64.5,0.0,-0.0,0.0,386.45,2.69,280.0,95190.0
20150705:2200,23.63,64.4,0.0,-0.0,0.0,377.95,2.48,274.0,95220.0
20150705:2300,22.71,68.75,0.0,-0.0,0.0,369.45,2.76,269.0,95280.0
20150706:0000,22.29,68.7,0.0,-0.0,0.0,363.85,3.17,281.0,95360.0
20150706:0100,21.94,68.7,0.0,-0.0,0.0,367.6,3.24,295.0,95410.0
20150706:0200,21.41,76.0,0.0,-0.0,0.0,366.15,3.31,300.0,95450.0
20150706:0300,20.94,78.55,0.0,-0.0,0.0,368.45,3.1,302.0,95510.0
20150706:0400,20.38,84.05,11.0,0.0,11.0,371.55,2.62,295.0,95560.0
20150706:0500,20.3,84.05,162.0,236.71,102.0,379.7,2.07,279.0,95640.0
20150706:0600,20.44,84.05,308.0,353.44,162.0,389.4,2.14,278.0,95710.0
20150706:0700,20.9,84.05,480.0,515.78,189.0,388.4,2.0,303.0,95760.0
20150706:0800,21.88,76.1,585.0,465.18,261.0,373.9,2.14,312.0,95760.0
20150706:0900,22.76,68.75,649.0,390.76,336.0,367.7,2.07,324.0,95750.0
20150706:1000,23.79,62.25,794.0,586.97,283.0,371.0,1.86,332.0,95740.0
20150706:1100,24.7,58.2,668.0,267.64,427.0,361.9,1.45,338.0,95680.0
20150706:1200,25.48,54.55,742.0,424.25,365.0,370.4,1.1,318.0,95650.0
20150706:1300,26.09,51.05,743.0,543.13,289.0,376.6,1.17,302.0,95610.0
20150706:1400,26.63,49.45,696.0,662.33,202.0,391.5,1.17,290.0,95560.0
20150706:1500,26.82,49.45,542.0,537.92,206.0,395.4,0.69,288.0,95520.0
20150706:1600,26.82,49.45,375.0,397.51,184.0,390.95,0.28,184.0,95490.0
20150706:1700,26.52,51.2,187.0,145.4,140.0,375.45,1.03,164.0,95490.0
20150706:1800,25.63,60.45,88.0,152.77,63.0,383.95,1.31,162.0,95480.0
20150706:1900,24.15,68.95,0.0,0.0,0.0,364.2,1.38,91.0,95420.0
